AREA;PERIMETER;DIST_;DIST_ID;CRSC8091;DISTRITO;NOME_DIST;MUNICIPIO;NOME_MUNI;ESTADO;NOME_EST;POP91_URB;POP91_RUR
-67429850000.000000;2554274.000000;1;0;;;;;;;;;
120530800.000000;56746.650000;2;1000441;0.00000;312200915;Orizânia;3122009;Divino;31;Minas Gerais;728;4442
276800500.000000;91781.450000;3;1000439;0.00000;312200905;Divino;3122009;Divino;31;Minas Gerais;5889;9082
63605150.000000;47886.780000;4;1000440;0.00000;312200910;Bom Jesus do Divino;3122009;Divino;31;Minas Gerais;510;1106
214269900.000000;80535.990000;5;1000264;0.00000;311330515;Fervedouro;3113305;Carangola;31;Minas Gerais;2029;4093
168333700.000000;82919.350000;6;1000261;29.25831;311330505;Carangola;3113305;Carangola;31;Minas Gerais;20216;3485
69510170.000000;41764.630000;7;1000265;0.00000;311330520;Lacerdinha;3113305;Carangola;31;Minas Gerais;808;1736
82057450.000000;56846.240000;8;1000263;0.00000;311330513;Bom Jesus do Madeira;3113305;Carangola;31;Minas Gerais;322;994
26899900.000000;26897.020000;9;1000266;0.00000;311330525;Ponte Alta de Minas;3113305;Carangola;31;Minas Gerais;595;739
60242720.000000;43218.670000;10;1000267;0.00000;311330530;São Pedro do Glória;3113305;Carangola;31;Minas Gerais;433;1167
92668880.000000;49072.110000;11;1000262;0.00000;311330510;Alvorada;3113305;Carangola;31;Minas Gerais;668;2768
164223800.000000;69639.460000;12;1001233;0.00000;316140305;São Francisco do Glória;3161403;São Francisco do Glória;31;Minas Gerais;2459;3906
162642300.000000;87036.420000;13;1000493;0.00000;312530905;Faria Lemos;3125309;Faria Lemos;31;Minas Gerais;1735;1368
301884200.000000;105672.100000;14;1000853;0.00000;314210605;Miradouro;3142106;Miradouro;31;Minas Gerais;4228;5999
357365000.000000;111562.200000;15;1000468;0.00000;312400505;Ervália;3124005;Ervália;31;Minas Gerais;5034;10517
108215300.000000;54518.850000;16;2000177;0.00000;330410215;Santa Clara;3304102;Porciúncula;33;Rio de Janeiro;585;2195
70484070.000000;43483.950000;17;1000993;0.00000;314900205;Pedra Dourada;3149002;Pedra Dourada;31;Minas Gerais;764;864
197390800.000000;70696.230000;18;1001366;0.00000;316920805;Tombos;3169208;Tombos;31;Minas Gerais;5657;1936
190352800.000000;83869.480000;19;2000137;0.00000;330310415;Varre-Sai;3303104;Natividade;33;Rio de Janeiro;2315;4808
53847210.000000;38845.020000;20;1001421;0.00000;317140205;Vieiras;3171402;Vieiras;31;Minas Gerais;848;1699
36980630.000000;32319.750000;21;1001235;0.00000;316150210;Monte Celeste;3161502;São Geraldo;31;Minas Gerais;468;1182
86401370.000000;46514.960000;22;1001367;0.00000;316920810;Catuné;3169208;Tombos;31;Minas Gerais;670;1504
62733660.000000;42969.900000;23;2000176;0.00000;330410210;Purilândia;3304102;Porciúncula;33;Rio de Janeiro;457;1043
151924300.000000;77111.200000;24;1001234;0.00000;316150205;São Geraldo;3161502;São Geraldo;31;Minas Gerais;3483;2727
89270000.000000;50709.650000;25;1000489;0.00000;312490615;Pinhotiba;3124906;Eugenópolis;31;Minas Gerais;323;1963
105784300.000000;53288.700000;26;1000892;0.00000;314390610;Belisário;3143906;Muriaé;31;Minas Gerais;1037;2145
133942600.000000;73587.080000;27;1000566;0.00000;312900405;Guiricema;3129004;Guiricema;31;Minas Gerais;2450;2706
64064860.000000;39987.680000;28;1000568;0.00000;312900415;Vilas Boas;3129004;Guiricema;31;Minas Gerais;355;1787
40723000.000000;31679.630000;29;1000488;0.00000;312490610;Gavião;3124906;Eugenópolis;31;Minas Gerais;246;823
58494260.000000;36382.740000;30;1001422;0.00000;317140210;Santo Antônio do Glória;3171402;Vieiras;31;Minas Gerais;427;822
240637000.000000;92014.340000;31;1001429;21.82271;317200405;Visconde do Rio Branco;3172004;Visconde do Rio Branco;31;Minas Gerais;21040;7411
118386600.000000;61000.070000;32;1000438;0.00000;312190205;Divinésia;3121902;Divinésia;31;Minas Gerais;1015;1994
121171800.000000;61133.770000;33;1000897;0.00000;314390635;Rosário da Limeira;3143906;Muriaé;31;Minas Gerais;1263;2191
131558800.000000;55787.880000;34;2000175;0.00000;330410205;Porciúncula;3304102;Porciúncula;33;Rio de Janeiro;8493;1788
236384200.000000;98761.520000;35;2000134;0.00000;330310405;Natividade;3303104;Natividade;33;Rio de Janeiro;8618;3155
119269200.000000;53005.590000;36;1000895;0.00000;314390625;Itamurí;3143906;Muriaé;31;Minas Gerais;848;1258
83847700.000000;56155.400000;37;1001384;0.00000;316990115;Ubari;3169901;Ubá;31;Minas Gerais;305;1063
73740000.000000;51303.920000;38;1000856;0.00000;314220515;São Sebastião da Vargem Alegre;3142205;Miraí;31;Minas Gerais;764;1737
57925760.000000;34022.890000;39;2000135;0.00000;330310407;Bom Jesus do Querendo;3303104;Natividade;33;Rio de Janeiro;451;788
181019500.000000;82399.650000;40;1000487;0.00000;312490605;Eugenópolis;3124906;Eugenópolis;31;Minas Gerais;3956;2514
85177260.000000;51206.710000;41;1000070;0.00000;310310805;Antônio Prado de Minas;3103108;Antônio Prado de Minas;31;Minas Gerais;827;1428
105036400.000000;65855.240000;42;1000896;0.00000;314390630;Pirapanema;3143906;Muriaé;31;Minas Gerais;341;1216
235125300.000000;90537.030000;43;1001381;23.73032;316990105;Ubá;3169901;Ubá;31;Minas Gerais;52745;10259
42012250.000000;37899.290000;44;1001383;0.00000;316990112;Miragaia;3169901;Ubá;31;Minas Gerais;302;521
92321010.000000;50326.230000;45;2000136;0.00000;330310410;Ourânia;3303104;Natividade;33;Rio de Janeiro;752;878
222813800.000000;80148.910000;46;1000891;30.78952;314390605;Muriaé;3143906;Muriaé;31;Minas Gerais;65468;2444
96606030.000000;57439.240000;47;1000567;0.00000;312900410;Tuiutinga;3129004;Guiricema;31;Minas Gerais;554;2445
176623400.000000;85930.410000;48;2000101;0.00000;330220515;Comendador Venâncio;3302205;Itaperuna;33;Rio de Janeiro;2033;4266
54776690.000000;37922.030000;49;1000898;0.00000;314390640;Vermelho;3143906;Muriaé;31;Minas Gerais;1303;874
114088500.000000;60601.650000;50;1000855;0.00000;314220510;Dores da Vitória;3142205;Miraí;31;Minas Gerais;404;1972
352808600.000000;104221.500000;51;1000844;0.00000;314160305;Mercês;3141603;Mercês;31;Minas Gerais;5079;4995
142426700.000000;72548.810000;52;1000423;0.00000;312150605;Desterro do Melo;3121506;Desterro do Melo;31;Minas Gerais;964;2561
157509000.000000;67441.570000;53;1001332;0.00000;316730105;Silveirânia;3167301;Silveirânia;31;Minas Gerais;655;1392
159072000.000000;74873.270000;54;1000564;0.00000;312880805;Guidoval;3128808;Guidoval;31;Minas Gerais;3605;3572
206802100.000000;80151.070000;55;1000854;0.00000;314220505;Miraí;3142205;Miraí;31;Minas Gerais;7311;2512
402185000.000000;121860.400000;56;2000099;60.37234;330220505;Itaperuna;3302205;Itaperuna;33;Rio de Janeiro;55476;5145
174037800.000000;74530.960000;57;1001364;0.00000;316900005;Tocantins;3169000;Tocantins;31;Minas Gerais;8565;4271
290271300.000000;111491.400000;58;1000110;16.09119;310560805;Barbacena;3105608;Barbacena;31;Minas Gerais;80760;9528
251784400.000000;112876.300000;59;1001123;0.00000;315580105;Rio Pomba;3155801;Rio Pomba;31;Minas Gerais;11136;3748
105812400.000000;58510.110000;60;1000113;0.00000;310560820;Senhora das Dores;3105608;Barbacena;31;Minas Gerais;817;2280
114581800.000000;62754.960000;61;2000104;0.00000;330220530;Retiro do Muriaé;3302205;Itaperuna;33;Rio de Janeiro;2094;1498
136939000.000000;61733.090000;62;1000893;0.00000;314390615;Boa Família;3143906;Muriaé;31;Minas Gerais;663;2021
108609300.000000;64018.200000;63;1000983;0.00000;314820205;Patrocínio do Muriaé;3148202;Patrocínio do Muriaé;31;Minas Gerais;2611;1838
72064640.000000;48064.770000;64;1001131;0.00000;315630405;Rodeiro;3156304;Rodeiro;31;Minas Gerais;2338;1411
61941860.000000;48622.800000;65;1001155;0.00000;315730205;Santa Bárbara do Tugúrio;3157302;Santa Bárbara do Tugúrio;31;Minas Gerais;1205;2345
250853300.000000;114543.200000;66;2000106;0.00000;330230405;Laje do Muriaé;3302304;Laje do Muriaé;33;Rio de Janeiro;3804;3660
97965000.000000;52758.530000;67;1001156;0.00000;315730210;Bom Retiro;3157302;Santa Bárbara do Tugúrio;31;Minas Gerais;169;1570
193140600.000000;79024.420000;68;2000103;0.00000;330220525;Nossa Senhora da Penha;3302205;Itaperuna;33;Rio de Janeiro;653;2362
216279400.000000;96827.650000;69;1000112;0.00000;310560815;Padre Brito;3105608;Barbacena;31;Minas Gerais;309;935
86338220.000000;55578.900000;70;1000108;0.00000;310550910;Cachoeira Alegre;3105509;Barão de Monte Alto;31;Minas Gerais;1446;1313
46871980.000000;40918.030000;71;1001382;0.00000;316990110;Diamante de Ubá;3169901;Ubá;31;Minas Gerais;699;617
144022800.000000;70857.200000;72;1001024;0.00000;315130505;Piraúba;3151305;Piraúba;31;Minas Gerais;6660;2482
65807500.000000;42846.820000;73;1000107;0.00000;310550905;Barão de Monte Alto;3105509;Barão de Monte Alto;31;Minas Gerais;1442;976
98283460.000000;50336.640000;74;1000306;0.00000;311530010;Cataguarino;3115300;Cataguases;31;Minas Gerais;474;1010
90741510.000000;48915.520000;75;1000894;0.00000;314390620;Bom Jesus da Cachoeira;3143906;Muriaé;31;Minas Gerais;728;785
162667700.000000;75106.240000;76;1001176;0.00000;315840905;Santana de Cataguases;3158409;Santana de Cataguases;31;Minas Gerais;2233;1298
175324300.000000;71701.780000;77;1000111;0.00000;310560810;Correia de Almeida;3105608;Barbacena;31;Minas Gerais;1433;3892
252004000.000000;107335.700000;78;2000053;0.00000;330100955;Santo Eduardo;3301009;Campos dos Goytacazes;33;Rio de Janeiro;2188;2558
96487700.000000;58208.450000;79;1000307;0.00000;311530015;Sereno;3115300;Cataguases;31;Minas Gerais;865;1020
20805110.000000;26575.740000;80;1000093;0.00000;310460115;Sobral Pinto;3104601;Astolfo Dutra;31;Minas Gerais;350;399
96005480.000000;50785.340000;81;2000102;0.00000;330220520;Itajara;3302205;Itaperuna;33;Rio de Janeiro;361;1547
58299040.000000;41108.550000;82;1000950;0.00000;314660205;Paiva;3146602;Paiva;31;Minas Gerais;921;495
454597500.000000;125048.200000;83;2000225;0.00000;330500025;Maniva;3305000;São João da Barra;33;Rio de Janeiro;2081;7771
15812390.000000;24233.610000;84;1000092;0.00000;310460110;Santana do Campestre;3104601;Astolfo Dutra;31;Minas Gerais;954;180
207441700.000000;67908.190000;85;2000051;0.00000;330100945;Santa Maria;3301009;Campos dos Goytacazes;33;Rio de Janeiro;2404;2603
524857200.000000;144716.100000;86;1000067;0.00000;310290205;Antônio Carlos;3102902;Antônio Carlos;31;Minas Gerais;3473;6339
237459500.000000;80198.030000;87;2000224;0.00000;330500020;Itabapoana;3305000;São João da Barra;33;Rio de Janeiro;6511;6185
122598600.000000;59185.020000;88;1000091;0.00000;310460105;Astolfo Dutra;3104601;Astolfo Dutra;31;Minas Gerais;7749;1780
31348820.000000;27155.020000;89;1000753;0.00000;313800510;São João da Sapucaia;3138005;Laranjal;31;Minas Gerais;201;253
41903700.000000;31893.270000;90;1000454;0.00000;312290005;Dona Euzébia;3122900;Dona Euzébia;31;Minas Gerais;2856;735
124868400.000000;59432.420000;91;2000100;0.00000;330220510;Boaventura;3302205;Itaperuna;33;Rio de Janeiro;1125;1440
47212950.000000;40291.820000;92;1000109;0.00000;310550915;Silveira Carvalho;3105509;Barão de Monte Alto;31;Minas Gerais;528;507
211401000.000000;88470.020000;93;1001340;0.00000;316790505;Tabuleiro;3167905;Tabuleiro;31;Minas Gerais;2126;2235
110817200.000000;69710.610000;94;1000927;0.00000;314570305;Oliveira Fortes;3145703;Oliveira Fortes;31;Minas Gerais;894;1289
105870200.000000;59721.410000;95;1000072;0.00000;310330605;Aracitaba;3103306;Aracitaba;31;Minas Gerais;1375;1025
173038200.000000;70442.430000;96;1000752;0.00000;313800505;Laranjal;3138005;Laranjal;31;Minas Gerais;3287;2207
264896700.000000;95281.630000;97;1000560;0.00000;312840205;Guarani;3128402;Guarani;31;Minas Gerais;5094;2952
247683000.000000;85908.520000;98;2000042;0.00000;330090225;São José de Ubá;3300902;Cambuci;33;Rio de Janeiro;1781;4276
156124600.000000;71890.570000;99;1000951;0.00000;314670105;Palma;3146701;Palma;31;Minas Gerais;3112;1402
202496700.000000;91899.790000;100;1000304;26.47847;311530005;Cataguases;3115300;Cataguases;31;Minas Gerais;50986;2053
40861360.000000;35527.290000;101;2000133;0.00000;330300515;Venda das Flores;3303005;Miracema;33;Rio de Janeiro;496;580
56122430.000000;48993.470000;102;1000305;0.00000;311530007;Aracati de Minas;3115300;Cataguases;31;Minas Gerais;401;425
12587560.000000;18937.570000;103;1000455;0.00000;312290030;São Manoel do Guaiaçu;3122900;Dona Euzébia;31;Minas Gerais;920;293
202262700.000000;92781.030000;104;2000131;24.97584;330300505;Miracema;3303005;Miracema;33;Rio de Janeiro;19395;2655
296830500.000000;105050.200000;105;2000093;0.00000;330205605;Italva;3302056;Italva;33;Rio de Janeiro;6352;6412
179225900.000000;79479.090000;106;2000049;0.00000;330100935;Morro do Coco;3301009;Campos dos Goytacazes;33;Rio de Janeiro;1783;2533
189161100.000000;74634.740000;107;2000041;0.00000;330090220;São João do Paraíso;3300902;Cambuci;33;Rio de Janeiro;2346;1924
118413600.000000;71149.740000;108;1000633;0.00000;313260205;Itamarati de Minas;3132602;Itamarati de Minas;31;Minas Gerais;2093;1346
253008700.000000;103440.200000;109;1001213;17.57829;316070205;Santos Dumont;3160702;Santos Dumont;31;Minas Gerais;36307;3573
103363300.000000;50421.120000;110;1001214;0.00000;316070210;Conceição do Formoso;3160702;Santos Dumont;31;Minas Gerais;509;826
213252200.000000;83847.030000;111;1000419;0.00000;312130805;Descoberto;3121308;Descoberto;31;Minas Gerais;2501;1582
72729140.000000;42675.690000;112;1001216;0.00000;316070217;Mantiqueira;3160702;Santos Dumont;31;Minas Gerais;239;760
207976600.000000;108435.200000;113;1001110;0.00000;315540505;Rio Novo;3155405;Rio Novo;31;Minas Gerais;6167;1758
78635900.000000;48605.140000;114;1000761;0.00000;313840125;Ribeiro Junqueira;3138401;Leopoldina;31;Minas Gerais;572;778
58691070.000000;39149.140000;115;2000132;0.00000;330300510;Paraíso do Tobias;3303005;Miracema;33;Rio de Janeiro;1063;902
29255370.000000;26088.990000;116;1000308;0.00000;311530020;Vista Alegre;3115300;Cataguases;31;Minas Gerais;700;204
71875940.000000;56406.980000;117;1000952;0.00000;314670110;Cisneiros;3146701;Palma;31;Minas Gerais;548;654
257389100.000000;101016.700000;118;1000757;22.19264;313840105;Leopoldina;3138401;Leopoldina;31;Minas Gerais;34886;3515
198426700.000000;66981.410000;119;2000059;0.00000;330100985;Vila Nova de Campos;3301009;Campos dos Goytacazes;33;Rio de Janeiro;3077;2174
106880100.000000;57298.360000;120;1001217;0.00000;316070220;São João da Serra;3160702;Santos Dumont;31;Minas Gerais;560;1001
76797410.000000;50751.410000;121;2000209;0.00000;330470635;Paraoquena;3304706;Santo Antônio de Pádua;33;Rio de Janeiro;783;1076
254548300.000000;75676.980000;122;2000054;0.00000;330100960;São Joaquim;3301009;Campos dos Goytacazes;33;Rio de Janeiro;729;4097
172196300.000000;102448.100000;123;1000759;0.00000;313840115;Piacatuba;3138401;Leopoldina;31;Minas Gerais;669;1540
97515060.000000;42562.310000;124;2000040;0.00000;330090215;Monte Verde;3300902;Cambuci;33;Rio de Janeiro;313;1511
191366300.000000;84967.290000;125;1001007;0.00000;315010905;Piau;3150109;Piau;31;Minas Gerais;1465;1557
424106500.000000;105211.300000;126;2000223;0.00000;330500015;Barra Seca;3305000;São João da Barra;33;Rio de Janeiro;6564;9602
263697300.000000;104084.300000;127;2000045;0.00000;330100910;Cardoso Moreira;3301009;Campos dos Goytacazes;33;Rio de Janeiro;5957;2036
59681540.000000;34205.740000;128;2000208;0.00000;330470630;Monte Alegre;3304706;Santo Antônio de Pádua;33;Rio de Janeiro;982;1242
73631100.000000;52074.130000;129;1001082;0.00000;315410110;Angaturama;3154101;Recreio;31;Minas Gerais;295;504
90269720.000000;56736.840000;130;1000953;0.00000;314670115;Itapiruçu;3146701;Palma;31;Minas Gerais;495;843
73968110.000000;53862.470000;131;1001081;0.00000;315410105;Recreio;3154101;Recreio;31;Minas Gerais;7392;559
57214380.000000;50283.760000;132;2000206;0.00000;330470620;Ibitiguaçu;3304706;Santo Antônio de Pádua;33;Rio de Janeiro;251;758
101296200.000000;57854.660000;133;1001215;0.00000;316070215;Dores do Paraibuna;3160702;Santos Dumont;31;Minas Gerais;472;718
112727300.000000;51884.300000;134;2000203;37.59157;330470605;Santo Antônio de Pádua;3304706;Santo Antônio de Pádua;33;Rio de Janeiro;18407;2084
109725900.000000;60389.160000;135;1001269;34.19112;316290605;São João Nepomuceno;3162906;São João Nepomuceno;31;Minas Gerais;17104;789
149482400.000000;60567.230000;136;2000215;0.00000;330480525;Pureza;3304805;São Fidélis;33;Rio de Janeiro;1796;2366
53155100.000000;49748.440000;137;1001194;0.00000;315940715;Paraíso Garcia;3159407;Santa Rita do Ibitipoca;31;Minas Gerais;192;675
152882000.000000;71527.980000;138;1001111;0.00000;315540510;Goianá;3155405;Rio Novo;31;Minas Gerais;2082;1172
213917300.000000;94828.870000;139;1001192;0.00000;315940705;Santa Rita do Ibitipoca;3159407;Santa Rita do Ibitipoca;31;Minas Gerais;1180;1340
67699510.000000;53798.780000;140;2000039;0.00000;330090210;Funil;3300902;Cambuci;33;Rio de Janeiro;771;952
171617800.000000;80603.730000;141;2000038;0.00000;330090205;Cambuci;3300902;Cambuci;33;Rio de Janeiro;3573;1903
103821400.000000;66791.060000;142;1000490;0.00000;312500205;Ewbank da Câmara;3125002;Ewbank da Câmara;31;Minas Gerais;2259;1027
63965720.000000;40693.250000;143;1001271;0.00000;316290615;Ituí;3162906;São João Nepomuceno;31;Minas Gerais;337;440
284164300.000000;101292.300000;144;1000132;0.00000;310680405;Bias Fortes;3106804;Bias Fortes;31;Minas Gerais;1599;3253
86894530.000000;52081.540000;145;1001083;0.00000;315410115;Conceição da Boa Vista;3154101;Recreio;31;Minas Gerais;1045;783
127516800.000000;64144.150000;146;1000762;0.00000;313840130;Tebas;3138401;Leopoldina;31;Minas Gerais;969;921
768337800.000000;200632.000000;147;1000730;26.16888;313670205;Juiz de Fora;3136702;Juiz de Fora;31;Minas Gerais;377790;2183
161219400.000000;81447.320000;148;2000210;0.00000;330470640;Santa Cruz;3304706;Santo Antônio de Pádua;33;Rio de Janeiro;2394;2353
208663300.000000;80220.910000;149;2000214;0.00000;330480520;Ipuca;3304805;São Fidélis;33;Rio de Janeiro;3187;2330
122026800.000000;63371.860000;150;1000396;0.00000;311960905;Coronel Pacheco;3119609;Coronel Pacheco;31;Minas Gerais;1679;1573
133475300.000000;77478.770000;151;1000758;0.00000;313840110;Abaíba;3138401;Leopoldina;31;Minas Gerais;166;762
56852300.000000;42755.830000;152;1001193;0.00000;315940710;Campolide;3159407;Santa Rita do Ibitipoca;31;Minas Gerais;280;397
46703150.000000;34852.450000;153;1001272;0.00000;316290620;Roça Grande;3162906;São João Nepomuceno;31;Minas Gerais;529;217
159384400.000000;68796.590000;154;1000089;0.00000;310440305;Argirita;3104403;Argirita;31;Minas Gerais;1947;1144
85716300.000000;54607.480000;155;2000207;0.00000;330470625;Marangatu;3304706;Santo Antônio de Pádua;33;Rio de Janeiro;651;1155
113423900.000000;63352.710000;156;1001270;0.00000;316290610;Carlos Alves;3162906;São João Nepomuceno;31;Minas Gerais;511;626
294618600.000000;81927.710000;157;2000058;0.00000;330100980;Travessão;3301009;Campos dos Goytacazes;33;Rio de Janeiro;8768;7449
71899150.000000;39746.300000;158;2000205;0.00000;330470615;Baltazar;3304706;Santo Antônio de Pádua;33;Rio de Janeiro;185;970
74232100.000000;44286.310000;159;1001273;0.00000;316290625;Taruaçu;3162906;São João Nepomuceno;31;Minas Gerais;474;405
124575800.000000;77596.290000;160;1001021;0.00000;315110705;Pirapetinga;3151107;Pirapetinga;31;Minas Gerais;6057;1657
79560720.000000;45491.530000;161;1001130;0.00000;315620505;Rochedo de Minas;3156205;Rochedo de Minas;31;Minas Gerais;1109;437
40083940.000000;29634.270000;162;2000043;0.00000;330090230;Três Irmãos;3300902;Cambuci;33;Rio de Janeiro;578;1083
173812400.000000;78074.940000;163;1000760;0.00000;313840120;Providência;3138401;Leopoldina;31;Minas Gerais;325;1339
228588700.000000;79472.140000;164;1000731;0.00000;313670260;Rosário de Minas;3136702;Juiz de Fora;31;Minas Gerais;1198;1052
144426900.000000;65953.730000;165;2000213;0.00000;330480515;Colônia;3304805;São Fidélis;33;Rio de Janeiro;839;2748
158809100.000000;84349.590000;166;1000315;0.00000;311590405;Chácara;3115904;Chácara;31;Minas Gerais;2444;813
48914530.000000;37351.780000;167;2000098;0.00000;330210625;Portela;3302106;Itaocara;33;Rio de Janeiro;1157;1705
67828180.000000;53929.840000;168;1001022;0.00000;315110710;Caiapó;3151107;Pirapetinga;31;Minas Gerais;222;1055
388329500.000000;135663.800000;169;2000211;35.76300;330480505;São Fidélis;3304805;São Fidélis;33;Rio de Janeiro;15925;2916
78546710.000000;42008.870000;170;2000204;0.00000;330470610;Aperibé;3304706;Santo Antônio de Pádua;33;Rio de Janeiro;4372;1937
180368100.000000;79789.240000;171;1000765;0.00000;313860910;Conceição da Ibitipoca;3138609;Lima Duarte;31;Minas Gerais;293;743
95844540.000000;62038.610000;172;1000480;0.00000;312460905;Estrela Dalva;3124609;Estrela Dalva;31;Minas Gerais;1291;925
657513300.000000;171592.300000;173;2000044;55.61452;330100905;Campos dos Goytacazes;3301009;Campos dos Goytacazes;33;Rio de Janeiro;277705;10749
105834600.000000;52171.240000;174;2000221;0.00000;330500005;São João da Barra;3305000;São João da Barra;33;Rio de Janeiro;11707;793
76370110.000000;40854.880000;175;2000094;0.00000;330210605;Itaocara;3302106;Itaocara;33;Rio de Janeiro;10085;2196
77752340.000000;50501.560000;176;1000820;0.00000;314020905;Maripá de Minas;3140209;Maripá de Minas;31;Minas Gerais;1446;841
113024000.000000;62118.160000;177;1001000;0.00000;314940805;Pedro Teixeira;3149408;Pedro Teixeira;31;Minas Gerais;594;999
54669560.000000;38345.750000;178;1001204;0.00000;316000910;São Domingos;3160009;Santo Antônio do Aventureiro;31;Minas Gerais;597;578
36137420.000000;28357.920000;179;1000481;0.00000;312460910;Água Viva;3124609;Estrela Dalva;31;Minas Gerais;184;217
139570300.000000;71199.480000;180;1000133;0.00000;310690305;Bicas;3106903;Bicas;31;Minas Gerais;9591;1648
121496300.000000;64942.980000;181;2000096;0.00000;330210615;Jaguarembé;3302106;Itaocara;33;Rio de Janeiro;811;2198
493252700.000000;121957.300000;182;2000048;0.00000;330100930;Morangaba;3301009;Campos dos Goytacazes;33;Rio de Janeiro;1332;2715
173534100.000000;76233.090000;183;1000037;0.00000;310150810;Angustura;3101508;Além Paraíba;31;Minas Gerais;659;1434
85230850.000000;58184.590000;184;1001431;0.00000;317210310;Trimonte;3172103;Volta Grande;31;Minas Gerais;360;652
98481140.000000;60115.660000;185;1001308;0.00000;316560205;Senador Cortes;3165602;Senador Cortes;31;Minas Gerais;821;1026
139233600.000000;72583.430000;186;2000212;0.00000;330480510;Cambiasca;3304805;São Fidélis;33;Rio de Janeiro;413;2061
113604600.000000;47199.230000;187;2000097;0.00000;330210620;Laranjais;3302106;Itaocara;33;Rio de Janeiro;1303;2027
88612860.000000;54376.020000;188;1000561;0.00000;312850105;Guarará;3128501;Guarará;31;Minas Gerais;3090;724
147370900.000000;67556.900000;189;1001203;0.00000;316000905;Santo Antônio do Aventureiro;3160009;Santo Antônio do Aventureiro;31;Minas Gerais;916;1399
399588300.000000;142066.200000;190;1000764;0.00000;313860905;Lima Duarte;3138609;Lima Duarte;31;Minas Gerais;8137;3580
113654000.000000;48460.800000;191;2000222;0.00000;330500010;Barcelos;3305000;São João da Barra;33;Rio de Janeiro;2205;2081
165552100.000000;83598.080000;192;2000064;0.00000;330110825;São Sebastião do Paraíba;3301108;Cantagalo;33;Rio de Janeiro;208;1683
198943500.000000;79897.300000;193;1000766;0.00000;313860915;São Domingos da Bocaina;3138609;Lima Duarte;31;Minas Gerais;302;840
123788500.000000;65966.590000;194;1001430;0.00000;317210305;Volta Grande;3172103;Volta Grande;31;Minas Gerais;2425;1094
59236040.000000;42526.890000;195;1000805;0.00000;313980510;Engenho Novo;3139805;Mar de Espanha;31;Minas Gerais;145;272
343135300.000000;113056.500000;196;1000733;0.00000;313670280;Torreões;3136702;Juiz de Fora;31;Minas Gerais;739;2009
199374700.000000;63623.070000;197;2000061;0.00000;330110810;Boa Sorte;3301108;Cantagalo;33;Rio de Janeiro;804;1595
98879320.000000;56024.400000;198;1000732;0.00000;313670270;Sarandira;3136702;Juiz de Fora;31;Minas Gerais;522;503
91033910.000000;52152.670000;199;2000234;0.00000;330530707;Ipituna;3305307;São Sebastião do Alto;33;Rio de Janeiro;557;1708
68881120.000000;45214.190000;200;1000767;0.00000;313860920;São José dos Lopes;3138609;Lima Duarte;31;Minas Gerais;258;488
